"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPL19"	9.04965914839026e-104	0.352227504807813	0.988	0.998	2.21707599476413e-99
"EDIL3"	6.35886648951036e-36	0.349741993024504	0.232	0.53	1.55785870126514e-31
"SNRPC"	8.31696948450238e-37	0.349430161109048	0.341	0.777	2.03757435400824e-32
"CHMP2A"	1.07750553905317e-58	0.346657485653807	0.302	0.773	2.63978082012635e-54
"RPS5"	6.95998349056682e-56	0.346036033446311	0.884	0.99	1.70512635535396e-51
"IMPDH2"	2.42500493436039e-37	0.344750545286898	0.328	0.742	5.94101958868953e-33
"SSBP1"	0.196395562779187	0.344748822752394	0.562	0.893	1
"NUPR1"	4.56383777711069e-19	0.342735905564444	0.087	0.202	1.11809461701435e-14
"RPL22"	7.60516934090952e-58	0.341135698974443	0.884	0.998	1.86319043682942e-53
"SSR4"	4.12437811011783e-15	0.340559257162888	0.7	0.965	1.01043139319777e-10
"PRDX1"	2.08405155685832e-28	0.339846311625589	0.831	0.962	5.10571790914719e-24
"CCL4"	1.38931802455265e-36	0.339467495853902	0.095	0.274	3.40369022835155e-32
"NOL7"	1.61723399160669e-41	0.337232755564863	0.327	0.76	3.96206155603724e-37
"GSTO1"	8.8051094583395e-47	0.336137051385945	0.291	0.695	2.15716376619859e-42
"PSMB1"	0.000464045108148111	0.336005808814148	0.478	0.827	1
"COPE"	2.84268596164109e-23	0.334623432072336	0.389	0.816	6.9642963374245e-19
"C4orf48"	0.00368111796675612	0.334575820292687	0.594	0.958	1
"RPL24"	5.27992211762975e-102	0.334489507551524	0.975	0.998	1.29352811959811e-97
"ARPC3"	1.07497512812901e-16	0.334488159034508	0.722	0.97	2.63358156640327e-12
"FXR1"	3.28438877533006e-42	0.334121185931016	0.351	0.832	8.04642406068112e-38
"S100A6"	2.06685588632669e-118	0.333615405704609	0.999	0.997	5.06359023591176e-114
"TBCA"	1.46479928862607e-08	0.33228450368665	0.647	0.978	0.000358861177720502
"RPS27L"	1.01608237963449e-50	0.331344170013866	0.341	0.843	2.48930022186653e-46
"CAPG"	1.60263189674332e-20	0.330345830934608	0.342	0.684	3.92628788383145e-16
"NDUFA4"	5.63789270883066e-17	0.330335119067961	0.768	0.971	1.38122733473642e-12
"COX7C"	2.72697937619714e-70	0.329214384777016	0.947	0.995	6.68082677374536e-66
"RPS25"	9.71672452767027e-101	0.329173625583357	0.971	0.997	2.38050034203394e-96
"KDELR2"	0.0237512972925365	0.326312553790512	0.609	0.926	1
"RPL12"	1.97794900920925e-84	0.326225212578254	0.981	0.999	4.84577727766173e-80
"RSL24D1"	2.3168083819551e-85	0.326109257014416	0.266	0.771	5.67594885495179e-81
"EIF1"	1.04665081234724e-47	0.325899954291979	0.897	0.998	2.56418982516951e-43
"RGS10"	1.37546383862699e-44	0.325307910168564	0.315	0.752	3.36974885825225e-40
"ROMO1"	1.54881866924059e-13	0.324127718923412	0.459	0.947	3.79445085777253e-09
"RPA3"	0.0319423027631079	0.323967018595438	0.475	0.726	1
"RPS12"	3.1764805881922e-126	0.32343620534437	0.991	0.999	7.78205979301206e-122
"EIF3I"	1.51041592566653e-49	0.322706618086562	0.308	0.756	3.70036797629043e-45
"UBB"	1.29977161103603e-06	0.321391152031352	0.662	0.973	0.0318431046987716
"XIST"	1.05563804887266e-43	0.321129690994918	0.236	0.561	2.58620765593314e-39
"RPL26"	6.31861517855997e-59	0.319656616073677	0.94	0.997	1.54799753259541e-54
"RPL5"	4.71369512320402e-45	0.319133285242612	0.896	0.996	1.15480816823375e-40
"EPB41L4A-AS1"	1.13222859627175e-100	0.319067631461316	0.193	0.648	2.77384683800615e-96
"RPL39"	2.67916491142053e-100	0.317789656565096	0.987	0.999	6.56368611648916e-96
"CHCHD1"	1.20622985212896e-110	0.316810545761222	0.221	0.732	2.95514251473074e-106
"EEF1D"	9.57175250933533e-31	0.316758674672855	0.788	0.988	2.34498364726206e-26
"MRPL33"	9.63223647146435e-06	0.316179380170763	0.505	0.924	0.235980161314405
"GLTSCR2"	2.62187630126606e-84	0.316006380606172	0.217	0.659	6.42333475047171e-80
"RPLP1"	2.36523282010423e-102	0.313870777193181	0.993	0.999	5.79458388597334e-98
"HLA-DRA"	2.2274632906043e-51	0.312753795341993	0.351	0.84	5.45706231565149e-47
"LAPTM5"	3.47943106183353e-08	0.311707477965215	0.075	0.137	0.000852425815838598
"PRR13"	3.4539547080779e-77	0.310764837645813	0.296	0.824	8.46184363932006e-73
"RPS7"	8.4759078334816e-76	0.310550796786916	0.975	0.998	2.07651266012466e-71
"CHCHD10"	5.74826884082221e-26	0.309847350148253	0.357	0.744	1.40826838331303e-21
"S100A14"	0.00847455444875282	0.309486237058094	0.514	0.901	1
"RPS14"	4.15886262554768e-141	0.309386097440421	0.998	1	1.01887975463293e-136
"CYCS"	0.762617620620752	0.307386214253888	0.586	0.928	1
"RPS27A"	9.28594453532275e-96	0.307018579059204	0.99	0.999	2.27496355170872e-91
"ADIRF"	4.02269105929316e-60	0.305959011848269	0.194	0.533	9.8551908261623e-56
"ERAP2"	2.94259938821694e-91	0.305629134078933	0.134	0.499	7.20907424119269e-87
"C14orf2"	0.000161561121918694	0.30543995025742	0.517	0.961	1
"ATP5J2"	0.657519764426348	0.305185834697887	0.566	0.932	1
"ARPC1B"	2.03116013761561e-16	0.304364513826969	0.777	0.96	4.97613922114447e-12
"GAPDH"	3.43136795592723e-43	0.304244272453441	0.986	0.984	8.40650835522612e-39
"UPP1"	7.15360543592078e-39	0.304086827567435	0.366	0.839	1.75256179574623e-34
